0,Run,Distance,Length,Counts
388,388,1.9999358167363765,3.13812759180671,13
389,389,2.148252959492921,3.3085355740735984,25
390,390,2.4177050358008936,3.6966864268970125,6
391,391,2.687654381463256,158.84265992177774,25
392,392,2.3690302225619893,3.6566069970281494,11
393,393,3.235521492932108,3.7476842806163773,16
394,394,2.6690098883223503,3.497224193513656,6
395,395,2.3847764742772632,3.856185567229322,19
396,396,2.398428379306211,3.07635856343505,15
397,397,2.590718056878572,3.627368609204806,6
398,398,3.0510001224691172,4.011157067205985,12
399,399,3.037666436159656,3.57037793418484,11
400,400,2.7412653034858008,3.5056017854925017,9
401,401,2.539575216475324,3.4380250921791595,14
402,402,2.4599236725164944,3.131814289746578,12
403,403,2.628508736462882,3.956259844948086,14
404,404,2.5900503744576957,3.64593769129318,17
405,405,2.7877251505545724,3.822970683921347,16
406,406,2.4300111803590214,3.17193129647437,12
407,407,3.3383233147984366,3.898769789656766,12
408,408,2.768914722707924,3.8310610906737117,9
409,409,2.1084196997561024,2.6479464367663503,6
410,410,2.0917941693843516,3.3058756431335174,10
411,411,2.617968328924597,3.4387830492397233,7
412,412,2.582699681514093,3.745922786578107,16
413,413,0.8853466691708174,160.9029790189774,23
414,414,2.3760501193029238,3.1892724879967673,5
415,415,2.6614909938844895,3.140716341659692,12
416,416,3.129160521947701,3.74538094604785,15
417,417,2.4288246070988735,3.410099291502096,13
418,418,1.9174327582894595,2.767768471359748,7
419,419,2.7264409587236043,3.981109382777544,15
420,420,2.4208644549654905,3.6971494340563407,3
421,421,1.9332315819124106,3.618352948721962,7
422,422,2.296285855798105,3.1192284633259164,6
423,423,2.2002861975764816,3.6081064165936034,13
424,424,2.48202721577866,3.690606136499157,12
425,425,1.9284682747149768,3.2741338137925,17
426,426,2.710350490973276,3.679133127249394,14
427,427,1.1769558973716168,2.0995474474355027,12
428,428,2.492365623193677,3.18628761189192,8
429,429,0.34690191211833926,3.7445729673810404,6
430,430,2.4270425783987313,3.2549152267391355,20
431,431,1.6780541935559912,151.41660831415575,19
432,432,2.9537993729219734,3.7462125412758436,15
433,433,1.5677593619180106,2.508474589639338,14
434,434,1.3498029366392494,3.076852696163983,12
435,435,2.2452546040053147,3.804026399055398,12
436,436,2.255095492074084,3.527391257404969,12
437,437,3.021462124449024,3.7860026027989377,13
438,438,2.889807734235996,4.05238251345028,6
439,439,2.7652146584714643,3.613246349603562,7
440,440,2.476799957294041,3.5201278029120906,6
441,441,2.474973967927138,3.3861011062286113,10
442,442,3.135658197740539,3.9470867756415795,5
443,443,2.5882231569517895,3.943336476160884,14
444,444,1.7352727584796603,3.289462229002954,4
445,445,2.7754082209296147,3.3475780253505993,13
446,446,2.0737955457648685,3.6945256388182424,9
447,447,1.2011652815747258,3.0417691130244195,3
448,448,3.0046053845834733,3.9359668462050736,3
449,449,2.6385533572055766,3.6590071403143924,3
450,450,2.150634094476325,3.6576227251144093,7
451,451,2.8246153109884276,3.4919423501570623,11
452,452,2.330883549603991,3.3027560610532887,9
453,453,3.076619642872715,3.672210878333726,6
454,454,2.5419821289034004,3.6738971686773976,11
455,455,2.765099032487922,3.808050643787054,6
456,456,1.9973634831848337,2.3374472116516536,8
457,457,1.5825142647967358,2.6294288473435476,4
458,458,3.493819077928323,136.75153001658936,21
459,459,2.09278961041594,142.42087069336165,27
460,460,2.506695958323164,3.38273914573512,11
461,461,2.48533657621865,3.536613907518459,13
462,462,52.741437991279426,69.36228679993378,9
463,463,1.497494297893402,2.4052168027411227,14
464,464,2.3754166247621042,3.095316352554664,9
465,465,2.826660012657714,3.863401691970676,7
466,466,2.55722604155314,3.3413348918658508,2
467,467,3.240431532483329,3.7857252754379482,6
468,468,2.770132647985002,3.201346181687257,5
469,469,1.9521206526594208,2.8246574146555563,5
470,470,2.795223482685732,3.7798097815031313,13
471,471,2.886334628106269,3.9177180255551005,20
472,472,1.6679349884041457,2.2473853304249554,6
473,473,2.455391747988495,192.7226753775016,13
474,474,2.0196970618860246,3.3927754850018195,5
475,475,2.1758778593232204,3.84069634319586,7
476,476,1.9265796467295722,3.5058690485483193,12
477,477,1.8663666667486432,2.745480965441739,7
478,478,1.3872939424521271,2.8718443083306875,5
479,479,2.365749077281064,3.1487930985460655,8
480,480,2.372194199159129,3.590292083287229,8
481,481,2.0014019922301083,3.337850157519191,21
482,482,2.738622350702523,3.676469490553902,10
483,483,2.143474456934115,2.802765479939715,3
484,484,2.2727286764734425,2.4982583458710357,11
485,485,2.870523976282903,3.516564214630547,31
486,486,3.1466711071637676,3.7506716381166716,10
487,487,2.7279637634171494,3.187213421050124,7
488,488,2.738710975159664,3.384085770533881,11
489,489,2.1683810578098592,3.1002171137115493,20
490,490,2.3500387629480683,2.5973115649231553,8
491,491,2.5750459031549893,119.30780225497654,29
492,492,2.4907875579370478,3.715080606743497,13
493,493,2.1147015955893793,3.4132995440713367,13
494,494,2.7163968043819087,3.1793751888450887,13
495,495,2.245973714471878,3.7896067272136027,11
496,496,2.5557319397824907,3.4443254253537154,11
497,497,1.9839802952122392,3.028679393243608,5
498,498,2.176377519940235,158.29053149201667,10
499,499,2.1637426238483832,3.5686353585658916,7
500,500,1.9124792700851896,2.9677240145928234,16
501,501,3.193122538944562,3.685474069230333,4
502,502,2.6707892319411894,3.32097857709329,27
503,503,2.02649916110925,3.265123464532205,16
504,504,1.9427506727207695,3.7788267475404105,4
505,505,2.5408804272171572,3.3061799108467187,4
506,506,2.514334085769036,3.279317193584792,18
507,507,1.717041495924533,3.268438644476881,11
508,508,3.449362621778971,3.7112496609150396,19
509,509,2.4173288086119222,3.249070996314345,9
510,510,2.486237400222509,157.38439680613652,18
511,511,2.6030199817663595,3.967484452394573,18
512,512,2.7952960753884546,3.5254129653406525,11
513,513,1.8165285363515897,3.1932429264128377,14
514,514,2.386517351641971,3.2748065378300253,18
515,515,0.9986152588043293,2.0672326143451576,6
516,516,2.6366332665972103,3.752915758715696,11
517,517,1.864947590962087,2.6877372027467574,6
518,518,2.6972834654737894,3.4574363575221674,7
519,519,2.3813239300461633,3.6085818529608855,14
520,520,2.211846801480322,3.3947779939679488,11
521,521,2.0517547601542163,2.7156737028517424,7
522,522,1.9794277888081107,2.3366089334367217,9
523,523,2.530028277752738,2.814272149055218,7
524,524,1.8974266387861345,3.6317108984843496,16
525,525,2.6224962051365033,3.4151581020331405,15
526,526,3.1378339944062517,162.62927979961344,9
527,527,2.8104877867918674,3.4344427196560994,10
528,528,2.338931254714948,3.220854216041381,5
529,529,2.3616445954741976,3.2543889156307646,11
530,530,2.3354808870254207,3.347514901020332,9
531,531,2.6120546937889717,3.6616197084414037,8
